"ID","Identifier","Name","TextureName"
"0","","",""
"1","イクス","イクス","Ickx"
"2","ミリーナ","ミリーナ","Mileena"
"3","クレス","クレス","Cless"
"4","チェスター","チェスター","Chester"
"5","ルーティ","ルーティ","Rutee"
"6","リオン","リオン","Lion"
"7","メルディ","メルディ","Meredy"
"8","キール","キール","Keel"
"9","ロイド","ロイド","Lloyd"
"10","コレット","コレット","Collet"
"11","リフィル","リフィル","Refill"
"12","ヴェイグ","ヴェイグ","Veigue"
"13","ノーマ","ノーマ","Norma"
"14","ルーク","ルーク","Luke"
"15","ジェイド","ジェイド","Jade"
"16","アニス","アニス","Anise"
"17","ルカ","ルカ","Ruca"
"18","アンジュ","アンジュ","Ange"
"19","ユーリ","ユーリ","Yuri"
"20","ラピード","ラピード","Repede"
"21","リタ","リタ","Rita"
"22","コハク","コハク","Kohak"
"23","ヒスイ","ヒスイ","Hisui"
"24","アスベル","アスベル","Asbel"
"25","ソフィ","ソフィ","Sophie"
"26","パスカル","パスカル","Pascal"
"27","ジュード","ジュード","Jude"
"28","ミラ=マクスウェル","ミラマクスウェル","Milla"
"29","エリーゼ","エリーゼ","Elise"
"30","ルドガー","ルドガー","Ludger"
"31","スレイ","スレイ","Sorey"
"32","ミクリオ","ミクリオ","Mikleo"
"33","サラ","サラ","Sala"
"34","マーク","マーク","Mark"
"35","ティア","ティア","Tear"
"36","エドナ","エドナ","Edna"
"37","ベルベット","ベルベット","Velvet"
"38","ライフィセット","ライフィセット","Laphicet"
"39","シェリア","シェリア","Cheria"
"40","リッド","リッド","Rid"
"41","ファラ","ファラ","Farah"
"42","レイヴン","レイヴン","Raven"
"43","スタン","スタン","Stan"
"44","ゼロス","ゼロス","Zelos"
"45","ナタリア","ナタリア","Natalia"
"46","カイル","カイル","Kyle"
"47","リアラ","リアラ","Reala"
"48","カノンノ・E","カノンノイアハート","KanonnoE"
"49","アルヴィン","アルヴィン","Alvin"
"50","アリーシャ","アリーシャ","Alisha"
"51","イリア","イリア","Iria"
"52","エステル","エステル","Estelle"
"53","リチャード","リチャード","Richard"
"54","アッシュ","アッシュ","Asch"
"55","セネル","セネル","Senel"
"56","ガイ","ガイ","Guy"
"57","ジューダス","ジューダス","Judas"
"58","シング","シング","Shing"
"59","ユリウス","ユリウス","Julius"
"60","アイゼン","アイゼン","Eizen"
"61","ザビーダ","ザビーダ","Zaveid"
"62","カイウス","カイウス","Caius"
"63","ルビア","ルビア","Rubia"
"64","ティトレイ","ティトレイ","Tytree"
"65","ヴァン","ヴァン","Van"
"66","バルバトス","バルバトス","Barbatos"
"67","ミトス","ミトス","Mitos"
"68","リヒター","リヒター","Richter"
"69","ディスト","ディスト","Dist"
"70","コンウェイ","コンウェイ","Kongwai"
"71","エミル","エミル","Emil"
"72","マルタ","マルタ","Marta"
"73","ミント","ミント","Mint"
"74","アーチェ","アーチェ","Arche"
"75","フレン","フレン","Flynn"
"76","ヒューバート","ヒューバート","Hubert"
"77","ロゼ","ロゼ","Rose"
"78","デゼル","デゼル","Dezel"
"79","ダオス","ダオス","Dhaos"
"80","シンク","シンク","Synch"
"81","ロクロウ","ロクロウ","Rokurou"
"82","マギルゥ","マギルゥ","Magilou"
"83","エレノア","エレノア","Eleanor"
"84","ファントム","ファントム","Phantom"
"85","クラース","クラース","Klarth"
"86","レイア","レイア","Leia"
"87","天海 春香","アマミハルカ","Haruka"
"88","ゲフィオン","ゲフィオン","GefionEN"
"89","カナ","カナ","Kana"
"90","アレン","アレン","Alen"
"91","ゼファー","ゼファー","Zephyr"
"93","クラトス","クラトス","Kratos"
"94","カロル","カロル","Karol"
"95","ジョニー","ジョニー","Johnny"
"96","リーガル","リーガル","Regal"
"97","ローエン","ローエン","Rowen"
"98","P・カノンノ","パスカカノンノ","PKanonno"
"99","セルシウス","セルシウス","Celsius"
"100","ロンドリーネ","ロンドリーネ","Rondoline"
"101","レナス・F","レナス・F","Lenneth"
"102","ガイアス","ガイアス","Gaius"
"103","ミュゼ","ミュゼ","Musee"
"104","ジュディス","ジュディス","Judith"
"105","シャーリィ","シャーリィ","Shirley"
"106","スパーダ","スパーダ","Spada"
"107","ライラ","ライラ","Lailah"
"108","ナーザ","ナーザ","Nadza"
"109","キリト","キリト","Kirito"
"110","アスナ","アスナ","Asuna"
"111","カノンノ・G","カノンノグラスバレー","KanonnoG"
"112","ハロルド","ハロルド","Harold"
"113","ディムロス","ディムロス","Dymlos"
"114","サレ","サレ","Saleh"
"115","ミラ","ミラ","MillaFra"
"116","しいな","シイナ","Shihna"
"117","アグリア","アグリア","Agria"
"118","クロエ","クロエ","Chloe"
"119","ダークかめにん","ダークカメニン","DKamenin"
"120","レザード","レザード","Jade"
"121","ヒルダ","ヒルダ","Hilda"
"122","ウンディーネ","ウンディーネ","Wndine"
"123","シルフ","シルフ","Sylph"
"124","ノーム","ノーム","Gnome"
"125","アトワイト","アトワイト","Atwight"
"126","シャルティエ","シャルティエ","Chaltier"
"127","ハスタ","ハスタ","Hasta"
"128","ジーニアス","ジーニアス","Genius"
"129","プレセア","プレセア","Presea"
"130","島村 卯月","シマムラウヅキ","Uzuki"
"131","神崎 蘭子","カンザキランコ","Ranko"
"132","ルキウス","ルキウス","Lukius"
"133","すず","スズ","Suzu"
"134","ロニ","ロニ","Loni"
"135","ナナリー","ナナリー","Nanaly"
"136","リムル","リムル","Rimul"
"137","デューク","デューク","Duke"
"138","ヴィクトル","ヴィクトル","Victor"
"139","メルクリア","メルクリア","Mercuria"
"140","フェニックス","フェニックス","Phoenix"
"141","アリサ(GEREO)","アリサ(GEREO)","Alisa"
"142","クレア(GE3)","クレア(GE3)","Claire"
"143","エルレイン","エルレイン","Elrane"
"144","フレイ","フレイ","Fray"
"145","マリク","マリク","Malik"
"146","クロード","クロード","Crawd"
"147","レナ","レナ","Rena"
"148","ルシフェル","ルシフェル","Lucifer"
"149","ベリル","ベリル","Beryl"
"150","シャドウ","シャドウ","Shadow"
"151","アスカ","アスカ","Aska"
"152","アニー","アニー","Annie"
"153","クンツァイト","クンツァイト","Kunzite"
"154","リチア","リチア","Richea"
"155","デクス","デクス","Decus"
"156","コーキス","コーキス","KorcisBlack"
"157","クリード","クリード","Kreed"
"158","チャット","チャット","Chat"
"159","パティ","パティ","Patty"
"160","グリューネ","グリューネ","Grune"
